tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,tmdb_id,popularity,original_language,release_date,tmdb_vote_average,tmdb_vote_count,tmdb_genres
tt28765467,How to Deal with a Heartbreak,2023.0,110.0,"Comedy,Drama",4.4,210.0,1124624.0,0.2358,es,2023-07-06,7.1,36.0,Comedy
tt0040338,The Fallen Idol,1948.0,95.0,"Drama,Film-Noir,Mystery",7.6,10710.0,21631.0,1.2598,en,1948-09-30,7.2,191.0,"Drama,Thriller"
tt15209608,CCTV,2021.0,99.0,"Horror,Mystery",4.3,38.0,831480.0,0.4419,ko,2021-07-07,5.5,8.0,Horror
tt1687858,Come on Eileen,2010.0,90.0,Drama,6.6,94.0,98905.0,0.4831,en,2010-10-06,6.7,3.0,"Drama,Comedy"
tt3791268,Roseanne for President!,2015.0,96.0,"Biography,Comedy,Documentary",4.4,143.0,333378.0,0.4313,en,2015-04-18,5.0,3.0,Documentary
tt1497628,The Concerns of an Obese,2009.0,,Drama,,,,,,,,,
tt0134990,Takiaispallo,1970.0,79.0,Drama,6.0,79.0,505336.0,0.2566,fi,1970-09-10,3.0,2.0,Drama
tt4250338,Kösedönücü,1985.0,116.0,Comedy,6.6,98.0,666474.0,0.1283,tr,1985-01-01,0.0,0.0,Comedy
tt10667122,Sauda: The Deal,2005.0,,Drama,5.0,12.0,1572227.0,0.2351,hi,2005-09-30,0.0,0.0,Drama
tt0036465,Tutta la vita in ventiquattr'ore,1943.0,78.0,Comedy,5.3,13.0,326713.0,0.2444,it,1943-11-27,0.0,0.0,Drama
tt3904400,Lal Nishan,1959.0,,Drama,,,,,,,,,
tt2337448,Steve Jobs: iGenius,2012.0,55.0,Biography,5.2,188.0,134684.0,0.1837,en,2012-07-01,4.6,8.0,Documentary
tt4309204,Jimmy Goes to Nollywood,2015.0,52.0,Documentary,6.8,19.0,374710.0,0.1035,en,2015-02-06,0.0,0.0,Documentary
tt0286455,Love Affair on a Rainy Night,1973.0,67.0,Drama,,,234063.0,0.4468,ja,1973-05-23,1.0,2.0,
tt0120836,Lost & Found,1999.0,100.0,"Comedy,Romance",5.1,7248.0,39964.0,1.524,en,1999-04-23,5.0,95.0,"Comedy,Romance"
tt14972868,Corrections,2021.0,134.0,Documentary,,,,,,,,,
tt0119307,Man Is a Woman,1998.0,100.0,"Comedy,Music,Romance",6.1,843.0,60750.0,0.6852,fr,1998-03-11,5.6,34.0,"Comedy,Romance"
tt2334994,What Is Love?,2012.0,545.0,"Documentary,Drama,History",3.1,12.0,,,,,,,
tt19894022,Abrazos no... balazos,2022.0,88.0,Crime,5.3,20.0,,,,,,,
tt26084464,Trust Nobody 2,2023.0,,"Action,Crime,Drama",5.8,61.0,1133271.0,0.1812,en,2023-05-26,6.0,3.0,"Crime,Action,Thriller,Drama"
tt0481107,Hasti,1993.0,149.0,Action,4.5,59.0,301129.0,0.9696,en,1993-05-21,3.0,1.0,
tt2188856,No Homo,2012.0,79.0,Drama,,,,,,,,,
tt0319861,El mil usos II,1984.0,100.0,"Adventure,Comedy,Drama",6.9,53.0,487136.0,0.2968,es,1984-11-14,6.3,6.0,"Comedy,Drama,Adventure"
tt27547949,Mon désert,2016.0,87.0,Drama,,,,,,,,,
tt11098746,Senzachiederepermesso,2019.0,95.0,Documentary,,,950770.0,0.1011,it,2014-01-01,0.0,0.0,Documentary
tt5178660,Rosso Mille Miglia,2015.0,94.0,Comedy,5.4,421.0,364403.0,0.304,it,2015-10-14,4.8,15.0,"Adventure,Comedy"
tt5827216,Iris 2: The Movie,2013.0,119.0,"Action,Adventure,Crime",5.4,204.0,281056.0,1.5095,ko,2013-02-13,7.6,7.0,Action
tt0032991,Ridi pagliaccio,1941.0,90.0,Drama,,,897638.0,0.2545,it,1941-03-05,0.0,0.0,Drama
tt4108894,What's the Time in Your World?,2014.0,101.0,"Drama,Romance",7.0,2948.0,298660.0,0.2536,fa,2015-05-13,7.4,18.0,"Drama,Romance"
tt1442284,Naomi,2009.0,75.0,Drama,,,,,,,,,
tt0778786,Mujer sin un destino,2006.0,82.0,Drama,6.6,22.0,1016359.0,0.0786,es,2006-01-01,3.5,2.0,
tt38199399,The Reality War: Final Broadcast Protocol,2025.0,245.0,Sci-Fi,,,,,,,,,
tt2246693,Footsteps,2012.0,86.0,Drama,6.5,26.0,,,,,,,
tt0127504,Defekt,1977.0,70.0,"Crime,Horror,Thriller",6.3,177.0,300522.0,0.1698,hu,1977-12-01,7.0,5.0,"Thriller,Crime,Horror"
tt0055179,Min kone fra Paris,1961.0,103.0,"Comedy,Romance",6.6,97.0,176604.0,0.3241,da,1961-08-07,6.3,3.0,Comedy
tt3057610,Hyôchû no Bijo,1950.0,86.0,Crime,,,575994.0,0.872,ja,1950-03-12,0.0,0.0,"Crime,Horror"
tt6675184,Tenir la distance,2017.0,69.0,Documentary,7.1,11.0,453522.0,0.0673,fr,2017-03-28,0.0,0.0,Documentary
tt1785490,Niger '66: A Peace Corps Diary,2010.0,75.0,Documentary,,,1304795.0,0.2355,en,2010-01-01,0.0,0.0,Documentary
tt8919390,Rustum,2018.0,142.0,"Action,Drama",5.0,297.0,613745.0,0.2843,kn,2019-06-28,5.0,2.0,"Action,Drama"
tt34804296,The Making of the Jameel Gallery,2006.0,48.0,Documentary,,,,,,,,,
tt1338552,Strange Things,2010.0,52.0,Documentary,7.0,23.0,,,,,,,
tt0174921,Minden kezdet nehéz,1966.0,,Comedy,7.3,15.0,662048.0,0.1172,en,1966-01-01,0.0,0.0,
tt6476124,Border of Pain,2019.0,50.0,Documentary,,,,,,,,,
tt0275621,Ranjau Sepanjang Jalan,1983.0,,Drama,7.8,18.0,1557879.0,0.0,ms,1983-10-27,0.0,0.0,
tt0162179,Açores,1957.0,,Documentary,,,,,,,,,
tt20860304,Ikuinen liike,2019.0,52.0,Documentary,,,,,,,,,
tt7434076,George Washington: The Farewell Address,2018.0,95.0,"Biography,Documentary,History",,,,,,,,,
tt0084591,"Reuben, Reuben",1983.0,101.0,"Comedy,Drama,Romance",6.8,1455.0,31944.0,0.7249,en,1983-12-19,6.2,24.0,"Drama,Comedy,Romance"
tt14473220,Tholiwe [Found],1986.0,,Drama,,,,,,,,,
tt3375864,Dark Side of the Moon; an Interpretation,2013.0,45.0,"Drama,Music,Sci-Fi",,,,,,,,,
tt32044926,Khushkhabri,2024.0,,Comedy,,,1657454.0,0.08,pa,2026-04-17,0.0,0.0,Comedy
tt34369092,Juste sous la surface,2024.0,,Documentary,,,,,,,,,
tt6594078,Güres,2017.0,52.0,"Documentary,Sport",,,,,,,,,
